path,file_format,support_status,reason
msg/Bfile01.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/Bfile02.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/Bfile03.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/Bfile04.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/Bfile05.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/Bfile06.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/Bfile07.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/Bfile08.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/Bfile09.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/Bfile10.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/Bfile11.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/Bfile12.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/Bfile13.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/Bfile14.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/Bfile15.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/Bfile16.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
